wallet,lamports,sol,tx_count,first_tx,last_tx,pct_of_total
EKmTJpLxuX35b3uAAXLZnC4bnCaMtmtttwadw34syqGq,50100000000,50.100000000,1,1730046160,1730046160,0.126424
2cyZXQzrsR3eWxgB54d3iUJyFYK44FQX3Ty2RqKQinJg,50000000000,50.000000000,1,1729877811,1729877811,0.126172
2GtTDpNvwsd5Ho4p71FDaNuhNi6M2DPg1iu13EJfqbSg,50000000000,50.000000000,1,1729997678,1729997678,0.126172
2KTWc2PegJjiUBpmbthVXjbRTu72RdYDGiY1YSq3kL81,50000000000,50.000000000,1,1729997229,1729997229,0.126172
2SJkDT3P9osDRRCQZBqZxDGxeXBnoDemJXCsfB3ihGU2,50000000000,50.000000000,1,1730118940,1730118940,0.126172
2umgiqggsxBzJiZcJh7nu9k88xiewLfyKLeqFy8JJG38,50000000000,50.000000000,1,1729876707,1729876707,0.126172
3Bse4uZ6FYwbeR7ZPGwAKjRsi95f4eXPWq7xoAofrkKp,50000000000,50.000000000,1,1730128407,1730128407,0.126172
3YDkhqqX22CQrVppGUaqcUmgXKQKsgaeAWD8panESZ6K,50000000000,50.000000000,1,1729984134,1729984134,0.126172
3ZsdiNVBoYQ8fKKhyxMYMkC3Z31YK9AEZMPVXKjBCtJx,50000000000,50.000000000,1,1730120907,1730120907,0.126172
4AESuyEXwrW1iVoKmtyyzJnofEsvCdADfPWLRJ3r5y4y,50000000000,50.000000000,1,1730001277,1730001277,0.126172
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,50000000000,50.000000000,1,1729902175,1729902175,0.126172
4oVnUDar28UYYLZ743GYrorfVLys8SeBWacGC3C9Poap,50000000000,50.000000000,1,1730112814,1730112814,0.126172
4s2BJr7JtrGmtrWx3a8ZcQozSRg2DMrDoPWWv6yva3RS,50000000000,50.000000000,1,1730115186,1730115186,0.126172
4XD4aYmNAvbkikmJQcRTZSVeNwmcswKWXjNmSkZV5xMa,50000000000,50.000000000,2,1729923041,1730085636,0.126172
5e26f869KG5iPnYn7wmuB7QU3GcVvX7kUZqYgYTKpaNV,50000000000,50.000000000,1,1730128952,1730128952,0.126172
5XAJLqWoVWF95K4jADgjDcg6jivCkxQsGnf6STX6ayCc,50000000000,50.000000000,1,1729892981,1729892981,0.126172
